Date,Stock,Reco,Price
2020-04-24,Aarti Industries,BUY,929.0
2020-08-13,Aarti Industries,EXIT,1012.25
2018-02-01,Aditya Birla Cap,BUY,174.0
2020-03-06,Aditya Birla Cap,EXIT,75.0
2018-02-19,AGI Greenpac,BUY,427.6
2018-05-31,AGI Greenpac,EXIT,340.45
2020-08-04,Alembic Pharma,BUY,1022.7
2020-09-02,Alembic Pharma,EXIT,921.0
2016-12-01,Alkem Lab,BUY,1700.0
2018-05-31,Alkem Lab,EXIT,1922.0
2020-04-17,Alkem Lab,BUY,2687.7
2020-05-27,Alkem Lab,EXIT,2425.0
2015-10-30,Amara Raja Batt.,BUY,903.0
2017-04-05,Amara Raja Batt.,EXIT,908.95
2018-06-14,Amber Enterp.,BUY,1026.0
2020-04-16,Amber Enterp.,EXIT,1116.0
2021-09-14,Amber Enterp.,BUY,3243.0
2023-06-30,Amber Enterp.,EXIT,2261.75
2021-04-20,Apollo Hospitals,BUY,3241.7
2021-07-27,Apollo Hospitals,EXIT,4100.0
2015-10-30,Ashok Leyland,BUY,94.0
2016-04-04,Ashok Leyland,EXIT,109.95
2018-08-20,Ashok Leyland,BUY,128.05
2019-12-06,Ashok Leyland,EXIT,76.6
2021-01-04,Ashok Leyland,BUY,100.4
2021-02-11,Ashok Leyland,EXIT,134.0
2021-03-19,Ashok Leyland,BUY,115.8
2022-09-05,Ashok Leyland,EXIT,165.4
2016-10-17,Asian Granito,BUY,267.0
2018-02-14,Asian Granito,EXIT,527.75
2020-03-11,Asian Paints,BUY,1864.0
2020-05-07,Asian Paints,EXIT,1610.0
2023-06-23,Astral,BUY,1929.3
2020-10-28,Atul,BUY,6072.0
2021-02-01,Atul,EXIT,6470.0
2021-07-09,AU Small Finance,BUY,574.0
2023-06-28,AU Small Finance,EXIT,745.15
2018-07-06,Aurobindo Pharma,BUY,615.95
2019-10-04,Aurobindo Pharma,EXIT,529.5
2020-03-30,Avenue Super.,BUY,2028.0
2020-07-13,Avenue Super.,EXIT,2210.0
2015-10-30,Axis Bank,BUY,475.0
2016-01-07,Axis Bank,EXIT,430.8
2016-10-17,Axis Bank,BUY,510.0
2016-11-03,Axis Bank,EXIT,475.7
2020-06-03,Axis Bank,BUY,424.0
2020-07-14,Axis Bank,EXIT,423.0
2016-06-06,Bajaj Electrical,BUY,222.0
2017-05-02,Bajaj Electrical,EXIT,351.5
2021-08-27,Bajaj Electrical,BUY,1189.0
2021-09-24,Bajaj Electrical,EXIT,1499.0
2020-06-03,Bajaj Finance,BUY,2477.0
2020-07-21,Bajaj Finance,EXIT,3255.0
2020-11-25,Bandhan Bank,BUY,365.5
2021-01-13,Bandhan Bank,EXIT,387.0
2018-06-15,Bata India,BUY,779.0
2020-02-07,Bata India,EXIT,1880.0
2020-03-13,Bata India,BUY,1411.0
2020-05-26,Bata India,EXIT,1265.0
2016-02-12,Bharat Electron,BUY,102.181818181818
2016-11-03,Bharat Electron,EXIT,118.44
2020-04-01,Bharti Airtel,BUY,421.1
2020-08-24,Bharti Airtel,EXIT,520.0
2015-12-08,Blue Star,BUY,357.0
2019-12-09,Blue Star,EXIT,813.0
2023-06-30,Blue Star,BUY,762.6
2020-04-16,Britannia Inds.,BUY,2832.0
2020-09-14,Britannia Inds.,EXIT,3786.0
2023-06-23,Britannia Inds.,BUY,4955.75
2023-08-08,Britannia Inds.,EXIT,4606.0
2020-06-03,Can Fin Homes,BUY,316.0
2020-08-28,Can Fin Homes,EXIT,387.0
2021-02-05,Carborundum Uni.,BUY,452.0
2022-02-28,Carborundum Uni.,EXIT,813.0
2017-12-06,Century Plyboard,BUY,306.0
2018-05-16,Century Plyboard,EXIT,280.65
2023-06-28,Cera Sanitary.,BUY,7695.75
2020-08-28,Chalet Hotels,BUY,165.0
2020-09-28,Chalet Hotels,EXIT,142.45
2020-08-24,Cholaman.Inv.&Fn,BUY,232.0
2020-12-24,Cholaman.Inv.&Fn,EXIT,376.25
2020-03-30,Colgate-Palmoliv,BUY,1164.0
2020-07-29,Colgate-Palmoliv,EXIT,1413.0
2023-06-26,CRISIL,BUY,3884.0
2021-03-17,Crompton Gr. Con,BUY,402.0
2021-09-14,Crompton Gr. Con,EXIT,484.0
2020-04-16,Dabur India,BUY,498.0
2020-05-06,Dabur India,EXIT,450.0
2021-07-15,Dalmia BharatLtd,BUY,2218.3
2021-09-22,Dalmia BharatLtd,EXIT,2143.0
2022-02-09,Devyani Intl.,BUY,175.0
2023-06-26,Devyani Intl.,EXIT,193.0
2016-04-05,Dewan Hsg. Fin.,BUY,189.0
2019-01-30,Dewan Hsg. Fin.,EXIT,162.0
2020-05-07,Dhanuka Agritech,BUY,438.0
2020-05-27,Dhanuka Agritech,EXIT,573.0
2020-04-01,Dr Lal Pathlabs,BUY,1384.4
2020-04-09,Dr Lal Pathlabs,EXIT,1462.0
2020-05-28,Dr Reddy's Labs,BUY,3877.0
2020-08-20,Dr Reddy's Labs,EXIT,4481.7
2023-06-30,eClerx Services,BUY,1711.2
2020-06-08,Endurance Tech.,BUY,838.0
2020-11-19,Endurance Tech.,EXIT,1036.0
2016-06-06,Equitas Holdings,BUY,174.0
2017-06-04,Equitas Holdings,EXIT,160.25
2020-06-01,Escorts Kubota,BUY,970.0
2020-08-03,Escorts Kubota,EXIT,1110.0
2021-01-13,Escorts Kubota,BUY,1387.0
2021-08-31,Escorts Kubota,EXIT,1348.0
2021-01-21,Federal Bank,BUY,77.6
2023-06-21,Federal Bank,EXIT,124.0
2020-04-24,Galaxy Surfact.,BUY,1394.0
2020-08-13,Galaxy Surfact.,EXIT,1751.0
2020-11-04,Galaxy Surfact.,BUY,1664.0
2021-06-15,Galaxy Surfact.,EXIT,3086.0
2021-07-07,Galaxy Surfact.,BUY,3135.0
2021-08-18,Galaxy Surfact.,EXIT,2996.5
2016-01-07,Garware Tech.,BUY,411.0
2016-02-12,Garware Tech.,EXIT,304.8
2017-09-11,GIC Housing Fin,BUY,534.0
2020-01-31,GIC Housing Fin,EXIT,153.7
2018-06-29,GMM Pfaudler,BUY,775.0
2020-05-26,GMM Pfaudler,EXIT,3732.0
2021-02-17,GNA Axles,BUY,406.0
2021-10-19,GNA Axles,EXIT,1076.0
2021-06-04,Godrej Propert.,BUY,1420.0
2021-08-25,Godrej Propert.,EXIT,1437.0
2016-07-08,Goodyear India,BUY,526.0
2016-10-17,Goodyear India,EXIT,849.1
2020-11-24,Gujarat Gas,BUY,329.7
2021-01-15,Gujarat Gas,EXIT,371.5
2020-06-01,H D F C,BUY,1740.0
2020-08-14,H D F C,EXIT,1813.0
2023-06-28,H.G. Infra Engg.,BUY,870.25
2020-01-09,Hawkins Cookers,BUY,3591.0
2020-05-22,Hawkins Cookers,EXIT,4235.0
2020-08-28,Hawkins Cookers,BUY,4918.0
2021-02-04,Hawkins Cookers,EXIT,5710.0
2015-10-30,HCL Technologies,BUY,870.0
2017-04-05,HCL Technologies,EXIT,865.2
2021-02-11,HCL Technologies,BUY,965.0
2021-04-28,HCL Technologies,EXIT,926.4
2021-12-20,HCL Technologies,BUY,1159.0
2023-06-26,HCL Technologies,EXIT,1166.9
2015-10-30,HDFC Bank,BUY,548.5
2016-09-07,HDFC Bank,EXIT,649.53
2018-05-03,HDFC Bank,BUY,989.5
2020-01-22,HDFC Bank,EXIT,1246.0
2021-08-05,HDFC Bank,BUY,1490.0
2023-06-28,HDFC Bank,EXIT,1676.25
2020-03-30,Hind. Unilever,BUY,2141.0
2020-05-04,Hind. Unilever,EXIT,2121.0
2020-05-08,Hind. Unilever,BUY,2056.0
2020-07-08,Hind. Unilever,EXIT,2161.0
2020-09-03,Hind.Aeronautics,BUY,926.0
2020-11-03,Hind.Aeronautics,EXIT,680.7
2015-10-30,ICICI Bank,BUY,251.818181818182
2016-01-07,ICICI Bank,EXIT,227.36
2018-02-01,ICICI Bank,BUY,346.0
2020-05-05,ICICI Bank,EXIT,341.0
2020-06-01,ICICI Bank,BUY,345.0
2020-08-17,ICICI Bank,EXIT,359.0
2020-06-08,IDFC First Bank,BUY,25.0
2021-08-05,IDFC First Bank,EXIT,46.8
2016-03-11,IL&FS Transport,BUY,72.0
2016-10-17,IL&FS Transport,EXIT,101.85
2015-10-30,Infosys,BUY,568.5
2017-04-05,Infosys,EXIT,504.73
2020-04-16,Infosys,BUY,625.5
2020-06-08,Infosys,EXIT,708.0
2023-06-30,Ingersoll-Rand,BUY,2860.0
2020-08-28,Inox Leisure,BUY,294.0
2020-12-17,Inox Leisure,EXIT,285.2
2015-10-30,Inox Wind,BUY,398.0
2015-12-07,Inox Wind,EXIT,358.25
2018-08-10,Inox Wind,BUY,102.0
2020-04-24,Inox Wind,EXIT,26.6
2015-10-30,Ipca Labs.,BUY,782.0
2016-01-07,Ipca Labs.,EXIT,714.0
2020-04-01,Ipca Labs.,BUY,1398.0
2020-08-11,Ipca Labs.,EXIT,2037.0
2023-06-21,ITC,BUY,450.6
2015-10-30,Jagran Prakashan,BUY,140.0
2017-07-04,Jagran Prakashan,EXIT,185.65
2018-07-02,Jindal Steel,BUY,222.0
2020-08-24,Jindal Steel,EXIT,224.3
2021-06-14,Jindal Steel,BUY,420.0
2021-08-23,Jindal Steel,EXIT,362.0
2020-08-24,JK Lakshmi Cem.,BUY,286.8
2021-03-17,JK Lakshmi Cem.,EXIT,419.25
2021-12-31,Jubilant Ingrev.,BUY,565.0
2023-06-26,Jubilant Ingrev.,EXIT,423.25
2017-06-05,Karur Vysya Bank,BUY,115.454545454545
2018-03-11,Karur Vysya Bank,EXIT,91.09
2017-01-04,KEI Industries,BUY,125.0
2020-04-16,KEI Industries,EXIT,279.0
2023-06-26,KEI Industries,BUY,2242.0
2017-11-24,L T Foods,BUY,69.0
2018-06-19,L T Foods,EXIT,65.45
2021-01-13,L&T Fin.Holdings,BUY,105.0
2021-01-20,L&T Fin.Holdings,EXIT,104.5
2015-10-30,Larsen & Toubro,BUY,940.666666666667
2016-02-11,Larsen & Toubro,EXIT,728.2
2016-12-01,Larsen & Toubro,BUY,922.0
2017-04-05,Larsen & Toubro,EXIT,1107.11
2019-10-03,Larsen & Toubro,BUY,1458.35
2020-02-25,Larsen & Toubro,EXIT,1249.7
2020-06-01,Larsen & Toubro,BUY,951.0
2020-07-28,Larsen & Toubro,EXIT,913.75
2021-09-23,Lemon Tree Hotel,BUY,43.25
2021-12-17,Lemon Tree Hotel,EXIT,47.25
2015-10-30,LIC Housing Fin.,BUY,488.0
2016-09-07,LIC Housing Fin.,EXIT,592.65
2020-12-08,LIC Housing Fin.,BUY,355.0
2021-06-16,LIC Housing Fin.,EXIT,497.0
2020-04-16,LTIMindtree,BUY,1493.0
2020-08-13,LTIMindtree,EXIT,2504.4
2021-06-11,LTIMindtree,BUY,4060.0
2021-09-27,LTIMindtree,EXIT,5950.0
2023-06-21,LTIMindtree,BUY,4992.55
2023-08-09,LTIMindtree,EXIT,5101.0
2016-12-01,Lupin,BUY,1503.0
2017-04-05,Lupin,EXIT,1434.55
2018-05-09,M & M,BUY,860.0
2019-11-06,M & M,EXIT,581.2
2016-03-11,Mahindra Life.,BUY,424.0
2017-09-11,Mahindra Life.,EXIT,444.5
2022-06-14,Marico,BUY,498.0
2023-06-23,Marico,EXIT,523.45
2017-07-05,Maruti Suzuki,BUY,7371.0
2020-01-28,Maruti Suzuki,EXIT,7065.0
2018-04-20,Matrimony.com,BUY,781.0
2018-08-17,Matrimony.com,EXIT,573.25
2020-08-28,Metropolis Healt,BUY,1790.0
2021-02-11,Metropolis Healt,EXIT,2120.0
2021-03-22,Metropolis Healt,BUY,1944.0
2021-04-27,Metropolis Healt,EXIT,2354.0
2021-01-20,Mindtree,BUY,1756.0
2021-02-05,Mindtree,EXIT,1707.0
2016-10-17,Mirza Internatio,BUY,95.0
2017-05-02,Mirza Internatio,EXIT,106.8
2015-10-30,MT Educare,BUY,137.0
2016-01-07,MT Educare,EXIT,186.5
2017-08-08,Music Broadcast,BUY,70.0
2020-01-29,Music Broadcast,EXIT,28.6
2020-12-17,Narayana Hrudaya,BUY,414.7
2021-03-03,Narayana Hrudaya,EXIT,429.5
2016-01-07,Navkar Corporat.,BUY,207.0
2018-06-25,Navkar Corporat.,EXIT,133.55
2016-02-12,NBCC,BUY,55.9333333333333
2016-08-05,NBCC,EXIT,80.35
2020-03-30,Nestle India,BUY,15110.0
2020-06-08,Nestle India,EXIT,17160.0
2023-06-21,Nestle India,BUY,2285.025
2020-12-18,NRB Bearings,BUY,95.65
2021-06-08,NRB Bearings,EXIT,131.6
2022-01-07,Oberoi Realty,BUY,922.0
2023-06-23,Oberoi Realty,EXIT,986.55
2020-04-01,P & G Hygiene,BUY,10161.0
2020-06-08,P & G Hygiene,EXIT,10150.0
2020-04-24,P I Industries,BUY,1506.7
2020-08-31,P I Industries,EXIT,1920.0
2021-09-09,P I Industries,BUY,3420.0
2023-03-02,P I Industries,EXIT,4000.0
2023-08-09,P I Industries,BUY,3835.0
2018-04-12,Parag Milk Foods,BUY,249.0
2020-02-01,Parag Milk Foods,EXIT,137.25
2020-07-29,Persistent Sys,BUY,885.0
2021-01-15,Persistent Sys,EXIT,1620.0
2023-06-26,Persistent Sys,BUY,2479.0
2021-02-04,PNC Infratech,BUY,230.6
2021-03-16,PNC Infratech,EXIT,253.0
2016-12-01,Power Grid Corpn,BUY,192.0
2017-04-05,Power Grid Corpn,EXIT,196.25
2021-03-04,PVR Inox,BUY,1494.0
2021-06-29,PVR Inox,EXIT,1355.0
2021-06-16,Quess Corp,BUY,840.0
2021-07-15,Quess Corp,EXIT,751.0
2015-10-30,Radico Khaitan,BUY,101.0
2016-10-17,Radico Khaitan,EXIT,139.45
2021-10-13,Ramkrishna Forg.,BUY,244.08
2022-11-11,Ramkrishna Forg.,EXIT,300.0
2023-06-28,Ramkrishna Forg.,BUY,467.7
2018-07-06,RBL Bank,BUY,563.75
2020-04-15,RBL Bank,EXIT,121.0
2020-04-17,Reliance Industr,BUY,1189.04
2020-11-02,Reliance Industr,EXIT,1912.0
2017-12-14,Ruchira Papers,BUY,192.0
2018-02-08,Ruchira Papers,EXIT,179.0
2018-02-21,Safari Inds.,BUY,522.0
2020-04-16,Safari Inds.,EXIT,402.0
2021-07-19,Safari Inds.,BUY,742.0
2022-02-10,Safari Inds.,EXIT,942.0
2021-02-08,Shri.City Union.,BUY,1468.0
2021-12-06,Shri.City Union.,EXIT,2066.0
2018-06-20,Shriram Trans.,BUY,1466.0
2020-04-15,Shriram Trans.,EXIT,685.0
2015-10-30,Siyaram Silk,BUY,186.6
2020-01-27,Siyaram Silk,EXIT,229.0
2021-08-31,Sobha,BUY,627.0
2021-09-07,Sobha,EXIT,780.0
2021-09-22,Sobha,BUY,729.0
2023-06-23,Sobha,EXIT,531.85
2021-08-25,Sona BLW Precis.,BUY,484.2
2023-06-28,Sona BLW Precis.,EXIT,519.75
2021-06-21,Stove Kraft,BUY,578.0
2023-06-21,Stove Kraft,EXIT,450.5
2021-06-08,Suprajit Engg.,BUY,288.0
2023-06-21,Suprajit Engg.,EXIT,395.35
2015-10-30,Surya Roshni,BUY,134.0
2016-02-11,Surya Roshni,EXIT,129.7
2020-06-08,Swaraj Engines,BUY,1290.0
2021-01-13,Swaraj Engines,EXIT,1415.0
2016-08-05,T.V. Today Netw.,BUY,297.0
2018-05-16,T.V. Today Netw.,EXIT,461.4
2018-08-09,TTK Prestige,BUY,5171.66666666667
2019-11-08,TTK Prestige,EXIT,6075.0
2023-06-23,Tube Investments,BUY,3336.35
2016-02-12,TVS Motor Co.,BUY,278.0
2016-04-04,TVS Motor Co.,EXIT,324.3
2019-10-03,UltraTech Cem.,BUY,4147.45
2020-04-21,UltraTech Cem.,EXIT,3409.0
2023-08-08,UTI AMC,BUY,771.0
2020-08-28,V I P Inds.,BUY,303.0
2020-11-17,V I P Inds.,EXIT,311.0
2016-06-06,Voltas,BUY,334.0
2016-09-07,Voltas,EXIT,392.1
2020-12-16,Whirlpool India,BUY,2174.0
2021-02-04,Whirlpool India,EXIT,2465.0
2021-09-29,Whirlpool India,BUY,2299.0
2021-11-03,Whirlpool India,EXIT,2074.0
2018-07-06,Yes Bank,BUY,348.8
2019-12-02,Yes Bank,EXIT,65.0
2020-07-29,Zensar Tech.,BUY,155.0
2020-10-30,Zensar Tech.,EXIT,179.2
2023-08-11,eClerx Services,EXIT,1702.0
2023-08-11,Safari Inds.,BUY,1710.0
2023-08-17,KEI Industries,EXIT,2413.0
2023-08-17,Ingersoll-Rand,EXIT,3022.0
2023-08-17,UTI AMC,EXIT,760.0
2023-08-17,Apollo Tyres,BUY,393.0
2023-08-17,Akzo Nobel,BUY,2848.0
2023-08-17,Kirloskar Oil,BUY,512.0
2023-08-30,Apollo Tyres,EXIT,390.0
2023-08-30,ITC,EXIT,443.0
2023-08-30,Godfrey Phillips,BUY,2164.0
2023-08-30,Wendt India,BUY,13114.0
2023-09-14,LTIMindtree,BUY,5544.0
2023-09-14,Astral,EXIT,1900.0
2023-10-04,P I Industries,EXIT,3414.0
2023-10-04,Narayana Hrudaya,BUY,1108.0
2023-10-25,Tube Investments,EXIT,2390.0
2023-10-25,Polycab India,BUY,5080.0
2023-10-26,AIA Engineering,BUY,3385.0
2023-10-26,Akzo Nobel,EXIT,2365.0
2023-11-28,Godfrey Phillips,EXIT,2028.0
2023-11-28,LTIMindtree,EXIT,5428.0
2023-11-28,Kirloskar Oil,EXIT,556.0
2023-11-28,Nippon Life Ind.,BUY,407.0
2023-11-28,Ingersoll-Rand,BUY,2935.0
2023-11-28,Marksans Pharma,BUY,143.0
2023-11-29,Tata Elxsi,BUY,10520.0
2023-11-29,Wendt India,EXIT,14130.0
2024-01-10,Polycab India,EXIT,4950.0
2024-01-10,Elantas Beck,BUY,8340.0
2024-01-16,Elantas Beck,EXIT,8300.0
2024-01-16,Praj Industries,BUY,536.0
2024-01-30,Tata Elxsi,EXIT,7710.0
2024-01-30,Torrent Power,BUY,1022.0
2024-02-05,Dixon Technolog.,BUY,6367.0
2024-02-05,Praj Industries,EXIT,447.0
2024-02-15,Nestle India,EXIT,2460.0
2024-02-15,Finolex Cables,BUY,1003.0
2024-02-22,Astral,BUY,1948.0
2024-02-22,Cera Sanitary.,EXIT,7392.0
2024-02-27,Finolex Cables,EXIT,961.0
2024-02-27,Ramkrishna Forg.,EXIT,799.0
2024-02-27,Titan Company,BUY,3650.0
2024-02-27,I O C L,BUY,175.0
2024-02-29,Cummins India,BUY,2688.0
2024-02-29,H.G. Infra Engg.,EXIT,874.0
2024-03-04,Kirloskar Oil,BUY,902.0
2024-03-04,Ingersoll-Rand,EXIT,3774.0
2024-03-14,Kirloskar Oil,EXIT,774.0
2024-03-14,Nestle India,BUY,2593.0
2024-03-18,Neuland Labs.,BUY,5959.0
2024-03-18,Marksans Pharma,EXIT,153.0
2024-04-23,Persistent Sys,EXIT,3501.0
2024-04-23,Praj Industries,BUY,519.0
2024-05-13,Titan Company,EXIT,3425.0
2024-05-13,Vesuvius India,Buy,4427.0
2024-05-27,Torrent Power,EXIT,1414.0
2024-05-27,Polycab India,BUY,6798.0
2024-05-29,AIA Engineering,EXIT,3685.0
2024-05-29,Time Technoplast,BUY,268.0
2024-05-31,CRISIL,EXIT,4115.0
2024-05-31,J B Chemicals &,BUY,1739.0
2024-06-03,Narayana Hrudaya,EXIT,1187.0
2024-06-03,NCC,BUY,309.0
2024-06-05,Astral,EXIT,2016.0
2024-06-05,Nestle India,EXIT,2554.0
2024-06-05,Colgate-Palmoliv,Buy,2985.0
2024-06-05,Jyothy Labs,Buy,445.0
2024-06-27,Kirloskar Oil,Buy,1426.0
2024-06-27,I O C L,EXIT,164.0
2024-07-01,J B Chemicals &,EXIT,1785.0
2024-07-01,Mahanagar Gas,Buy,1687.0
2024-08-02,Kirloskar Oil,EXIT,1189.0
2024-08-02,Persistent Sys,Buy,4711.0
2024-09-26,eClerx Services,BUY,2954.0
2024-09-26,Polycab India,EXIT,6687.0
2024-10-04,Safari Inds.,EXIT,2460.0
2024-10-04,Torrent Power,BUY,1844.0
2024-11-13,Nippon Life Ind.,EXIT,683.0
2024-11-13,Mahanagar Gas,EXIT,1348.0
2024-11-13,Akzo Nobel,BUY,3700.0
2024-11-13,Dr Lal Pathlabs,BUY,3000.0
2024-11-14,Jyothy Labs,EXIT,432.0
2024-11-14,eClerx Services,EXIT,3352.0
2024-11-14,TVS Motor Co.,Buy,2385.0
2024-11-14,UTI AMC,Buy,1303.0
2024-11-18,Torrent Power,EXIT,1586.0
2024-11-18,Ganesha Ecosphe.,Buy,2394.0
2024-12-16,TVS Motor Co.,EXIT,2522.0
2024-12-16,Shaily Engineer.,BUY,1487.0
2024-12-26,Ganesha Ecosphe.,EXIT,2039.0
2024-12-26,Thangamayil Jew.,BUY,1936.0
2025-01-03,Colgate-Palmoliv,EXIT,2803.0
2025-01-03,Himadri Special,Buy,590.0
2025-01-07,NCC,EXIT,269.0
2025-01-07,Natco Pharma,Buy,1334.0
2025-01-14,Uno Minda,Buy,1032.0
2025-01-14,Cummins India,EXIT,2870.0
2025-01-16,Vesuvius India,EXIT,4132.0
2025-01-16,Lumax Auto Tech,Buy,566.0
2025-01-31,UTI AMC,Exit,1018.0
2025-01-31,Himadri Special,Exit,492.0
2025-01-31,Nippon Life Ind.,Buy,584.0
2025-01-31,S P Apparels,Buy,808.0
2025-02-04,Lumax Auto Tech,Exit,542.0
2025-02-04,Uno Minda,Exit,989.0
2025-02-04,V-Guard Industri,Buy,387.0
2025-02-04,Kirloskar Oil,Buy,855.0
2025-02-07,Thangamayil Jew.,Exit,1950.0
2025-02-07,Coromandel Inter,Buy,1839.0
2025-02-13,Kirloskar Oil,Exit,741.0
2025-02-13,Gabriel India,Buy,501.0
2025-02-14,Natco Pharma,Exit,889.0
2025-02-14,TVS Motor Co.,Buy,2400.0
2025-02-21,Akzo Nobel,Exit,3213.0
2025-02-21,EID Parry,Buy,693.0
2025-02-25,Dr Lal Pathlabs,EXIT,2463.0
2025-02-25,S P Apparels,EXIT,718.0
2025-02-25,Pidilite Inds.,Buy,2733.0
2025-02-25,Zydus Wellness,Buy,1620.0
2025-02-27,V-Guard Industri,EXIT,316.0
2025-02-27,Britannia Inds.,Buy,4811.0
2025-03-04,EID Parry,EXIT,655.0
2025-03-04,Kirl. Brothers,Buy,1531.0
2025-03-21,Britannia Inds.,EXIT,4850.0
2025-03-21,Zydus Wellness,EXIT,1670.0
2025-03-21,Narayana Hrudaya,Buy,1677.0
2025-03-21,Uno Minda,Buy,977.0
2025-03-24,TVS Motor Co.,EXIT,2417.0
2025-03-24,Gabriel India,EXIT,602.0
2025-03-24,Neuland Labs.,EXIT,12065.0
2025-03-24,Radico Khaitan,BUY,2318.0
2025-03-24,eClerx Services,BUY,2760.0
2025-03-24,Himadri Special,BUY,454.0
2025-04-09,Uno Minda,EXIT,816.0
2025-04-09,Thangamayil Jew.,BUY,1919.0
2025-04-21,eClerx Services,EXIT,2553.0
2025-04-21,Garware Tech.,BUY,887.0
2025-04-28,Time Technoplast,EXIT,354.0
2025-04-28,Dr Lal Pathlabs,BUY,2835.0
2025-05-06,Praj Industries,EXIT,467.0
2025-05-06,EID Parry,Buy,834.0
2025-05-16,Himadri Special,Exit,456.0
2025-05-16,TVS Motor Co.,Buy,2814.0
2025-05-21,CEAT,Buy,3962.0
2025-05-21,Blue Star,Exit,1597.0
2025-05-30,Lumax Auto Tech.,Buy,796.0
2025-05-30,Kirl. Brothers,Exit,1777.0
2025-06-04,Narayana Hrudaya,Exit,1759.0
2025-06-04,Aditya Vision,Buy,405.0
2025-06-18,Time Technoplast,BUY,445.0
2025-06-18,Aditya Vision,EXIT,351.0
